 Imunizações - Doses Aplicadas - Brasil
Doses aplicadas por Imunobiológicos e Ano/mês
Período:1994-2018
"Imunobiológicos";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004/Jan";"2004/Fev";"2004/Mar";"2004/Abr";"2004/Mai";"2004/Jun";"2004/Jul";"2004/Ago";"2004/Set";"2004/Out";"2004/Nov";"2004/Dez";"2005/Jan";"2005/Fev";"2005/Mar";"2005/Abr";"2005/Mai";"2005/Jun";"2005/Jul";"2005/Ago";"2005/Set";"2005/Out";"2005/Nov";"2005/Dez";"2006/Jan";"2006/Fev";"2006/Mar";"2006/Abr";"2006/Mai";"2006/Jun";"2006/Jul";"2006/Ago";"2006/Set";"2006/Out";"2006/Nov";"2006/Dez";"2007/Jan";"2007/Fev";"2007/Mar";"2007/Abr";"2007/Mai";"2007/Jun";"2007/Jul";"2007/Ago";"2007/Set";"2007/Out";"2007/Nov";"2007/Dez";"2008/Jan";"2008/Fev";"2008/Mar";"2008/Abr";"2008/Mai";"2008/Jun";"2008/Jul";"2008/Ago";"2008/Set";"2008/Out";"2008/Nov";"2008/Dez";"2009/Jan";"2009/Fev";"2009/Mar";"2009/Abr";"2009/Mai";"2009/Jun";"2009/Jul";"2009/Ago";"2009/Set";"2009/Out";"2009/Nov";"2009/Dez";"2010/Jan";"2010/Fev";"2010/Mar";"2010/Abr";"2010/Mai";"2010/Jun";"2010/Jul";"2010/Ago";"2010/Set";"2010/Out";"2010/Nov";"2010/Dez";"2011/Jan";"2011/Fev";"2011/Mar";"2011/Abr";"2011/Mai";"2011/Jun";"2011/Jul";"2011/Ago";"2011/Set";"2011/Out";"2011/Nov";"2011/Dez";"2012/Jan";"2012/Fev";"2012/Mar";"2012/Abr";"2012/Mai";"2012/Jun";"2012/Jul";"2012/Ago";"2012/Set";"2012/Out";"2012/Nov";"2012/Dez";"2013/Jan";"2013/Fev";"2013/Mar";"2013/Abr";"2013/Mai";"2013/Jun";"2013/Jul";"2013/Ago";"2013/Set";"2013/Out";"2013/Nov";"2013/Dez";"2014/Jan";"2014/Fev";"2014/Mar";"2014/Abr";"2014/Mai";"2014/Jun";"2014/Jul";"2014/Ago";"2014/Set";"2014/Out";"2014/Nov";"2014/Dez";"2015/Jan";"2015/Fev";"2015/Mar";"2015/Abr";"2015/Mai";"2015/Jun";"2015/Jul";"2015/Ago";"2015/Set";"2015/Out";"2015/Nov";"2015/Dez";"2016/Jan";"2016/Fev";"2016/Mar";"2016/Abr";"2016/Mai";"2016/Jun";"2016/Jul";"2016/Ago";"2016/Set";"2016/Out";"2016/Nov";"2016/Dez";"2017/Jan";"2017/Fev";"2017/Mar";"2017/Abr";"2017/Mai";"2017/Jun";"2017/Jul";"2017/Ago";"2017/Set";"2017/Out";"2017/Nov";"2017/Dez";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"Total"
"Penta inativada (DTPa/Hib/Vip)";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5703;5139;5958;6092;5669;5802;7475;6736;7426;7339;9873;8327;7880;6997;7025;7543;6551;6758;7675;7794;7798;7985;7715;7658;7625;8138;5053;3058;1059;1949;1549;1168;1055;5065;3873;1788;921;2124;2630;1188;1107;580;873;813;876;275;469;638;419;4531;4761;1228;2605;2824;4166;3680;4554;3316;3095;2580;1227;263778
"Tetraviral (sarampo, rubéola, caxumbae varicela)";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;19;-;-;-;38;-;3162;3045;45118;164132;181237;148644;214954;190650;182452;195359;173447;135055;155410;172309;189676;152483;180713;410098;189222;160021;155338;153058;177664;154615;177498;346533;162086;149000;113532;77829;84052;70845;66025;73545;68324;72900;70831;81061;160185;57533;65075;59319;78522;57356;76234;70762;129069;148735;180118;159162;148332;39272;27734;16585;50561;55742;63258;52573;50044;48908;43802;7340861
"HPV Quadrivalente - Feminino";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12;-;36;25;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;473100;427665;459819;437363;452217;459541;446346;516840;414681;454788;440108;387543;-;-;-;-;-;-;1205;3455;9866;4003;7057;57157;49804;21779;3598874;672955;140566;61477;42997;58279;2094303;779116;287464;140610;93992;86255;1846496;830498;363348;165925;120957;120830;947795;754814;363452;162928;146382;104468;154672;242588;246829;135528;116894;117624;634680;242024;141049;89813;228230;170531;297804;241095;229628;191918;211758;299171;744260;198947;148643;106012;171937;117814;208085;210031;169397;110657;77892;25764702
"HPV Quadrivalente - Masculino";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;13;3;5;196;4148;220;267;13692;5394;2025;1780;1427;1756;5517;4184;2428;1763;1306;1587;6563;3389;2306;2034;1664;1759;4698;3437;1792;1591;2030;1531;1513;2343;2211;1704;1842;2009;5762;2153;1793;2167;243581;166190;207995;136293;122992;164684;296301;380990;905306;212376;141070;103655;199365;136330;248682;239109;182059;113965;81001;4385948
"dT/dTpa Gestante";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"HEPATITE A, B RECOMBINANTE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;95;129;307;731;801;823;1090;908;1385;1724;1703;1230;1091;1490;1733;1527;1308;1151;1066;1422;1313;992;1354;1325;1417;1427;1200;975;1215;1715;1398;1461;1327;1903;1710;1602;1460;1444;1814;1717;1755;1548;1730;1810;2215;2126;2162;1810;1891;1329;1260;1459;956;867;883;1162;1549;1733;1760;1825;254;82567
"Rotavírus pentavalente";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;790;1095;2455;3319;4149;4478;4619;5335;5838;5476;5764;6148;6043;6094;6120;7066;6407;6078;7478;7463;7832;7798;7907;8271;8776;8256;7955;8278;8260;8526;6477;6472;7286;7326;6690;7050;6385;6561;6240;7011;6152;5802;5022;4902;7020;4925;5018;5725;5998;6021;6059;7334;6171;5629;5869;5682;6047;4822;5413;4379;1219;366781
"Quadrupla viral";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;19;46;14;17;2;12;1;710;1397;1651;1503;1808;2129;1536;1859;1532;1961;2055;2017;2416;2133;2220;1626;1651;1878;1151;1513;1729;1700;1701;593;40580
"Meningocócica ACYW1325";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"HPV";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;583;617;659;625;920;1105;1697;4386;3959;4661;4783;3624;10696;11064;9656;10618;11592;12204;21566;71406;34562;52896;31606;22388;16456;8498;97944;9212;2884;3782;8422;18524;176216;101430;50592;28388;21952;3706;1832;424;170;136;102;56;390;110;48;52;60;128;110;78;98;120;44;48;252;64;52;40;106;40;82;52;64;46;14;-;2;-;-;10;26;-;2;6;-;-;-;880743
"dTpa";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;27347;27853;31112;24414;24884;24803;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;147585;132253;142540;138920;131921;132344;122393;131459;125031;113742;129968;123336;177393;159693;202724;177583;189409;147134;143895;159795;146161;152051;155774;134860;172844;135969;143951;145917;146055;115460;56674;4595247
"Total";1313926;1663697;1702818;2019723;2143158;3505215;2843855;2511453;2038698;1961660;5953848;5862390;6370195;21122515;7818421;26996224;6419294;42788567;10925038;5766920;6304251;5642292;5938516;5675732;6376865;20207266;8460909;26865063;6587851;26586639;7192637;6453868;6543078;5970235;6405864;5751641;6588479;19988373;8327066;25035883;6682396;24417380;6709239;7139997;6806957;6187238;7908995;7126854;6961850;21313136;10697372;26009784;7157287;24984455;7400836;15635971;6879107;6148908;16113501;8820692;7293145;21984034;7930745;25128609;7183561;78493152;15036277;7628990;6924795;10422006;7022999;6379094;7450098;25241396;9645836;24444758;7173825;6899181;23208032;6407956;6945269;5767604;6620511;6279019;7939332;24135594;9151477;23146137;7467106;23544588;7236260;7258223;8087526;7293206;8118379;8080515;8115056;9094299;10498390;11377795;9615815;10734797;8657697;8421674;8309705;7437264;8891416;8291599;9063764;8690897;11487826;11559098;10207864;11876876;8228721;8275785;7816042;6670498;8008524;7921636;7973192;10531166;14040581;24277152;28756533;14628368;14595962;9432851;8357736;7807991;9347746;8788978;12809216;10396595;10025148;8319809;9499266;9687712;12249403;9856803;11616396;15511446;8847517;7994893;11375264;9947022;11472716;9095174;9133124;13712915;11443459;8475055;7959509;6494502;7437623;6295067;6955612;7796793;7943339;7010107;7105765;7524859;15737863;6775061;6692946;5630387;11357705;10223541;14633784;9625600;9727960;7878145;7755207;8315506;13305992;7552861;6924850;6112263;11200690;6672929;7315772;7257915;6945137;5535748;3721060;1947383638
 Fonte: Programa Nacional de Imunizações
 Notas:
 
 
Data de atualização dos dados: 16/08/2018
 
 
Os dados apresentados em 2013 se referem à soma dos seguintes dados:

Até Junho de 2013: dados do API DOS
A partir de Julho de 2013: APIWEB + SIPNI Web  (exceção UFs: AC, CE, DF , GO , MS, MT, PA, PR, RJ, SE, MA e TO por digitação duplicada)
Base de dados do ano de 2013 foi encerrada em 23/03/2015.
Doses aplicadas durante o MRC (pneumo 10 e meningo C) e Multivacinação

 
2014:

Dados do ano de 2014 são parciais. Referem-se ao recebimento das informações do APIWEB + SIPNI até a data de 23/03/2015.

